"DateTime","X","Y","Z"
"2022-12-07T13:03:37.698052Z","-0.35700002","0.74805003","8.721001"
"2022-12-07T13:03:37.758184Z","-0.67995006","0.64995","8.629951"
"2022-12-07T13:03:37.818597Z","-0.69705003","0.78405005","9.1369505"
"2022-12-07T13:03:37.879066Z","-0.96000004","0.81000006","10.035001"
"2022-12-07T13:03:37.939909Z","-1.0390501","1.0020001","10.440001"
"2022-12-07T13:03:38.000164Z","-1.35105","1.12395","11.866951"
"2022-12-07T13:03:38.060Z","-1.1179501","0.94005007","11.023951"
"2022-12-07T13:03:38.120538Z","-0.79995006","0.97095007","10.404"
"2022-12-07T13:03:38.180604Z","-0.94605005","0.85095006","10.533001"
"2022-12-07T13:03:38.241117Z","-0.606","0.77205","8.649"
"2022-12-07T13:03:38.301265Z","-0.606","0.72195005","9.147"
"2022-12-07T13:03:38.361750Z","-0.75705004","0.72195005","8.89605"
"2022-12-07T13:03:38.421522Z","-0.58695","0.82005006","9.0390005"
"2022-12-07T13:03:38.482283Z","-0.79305005","0.79605","9.801001"
"2022-12-07T13:03:38.542408Z","-0.80895007","0.9990001","10.05"
"2022-12-07T13:03:38.602550Z","-0.67800003","0.846","10.12395"
"2022-12-07T13:03:38.662966Z","-0.77805007","0.84900004","10.15995"
"2022-12-07T13:03:38.723116Z","-0.79005","0.89595","10.01895"
"2022-12-07T13:03:38.783689Z","-0.75900006","0.77400005","10.081051"
"2022-12-07T13:03:38.843697Z","-0.75195","0.80100006","9.774"
"2022-12-07T13:03:38.904207Z","-0.735","0.85605","9.705001"
"2022-12-07T13:03:38.964139Z","-0.73005","0.67905","9.813001"
"2022-12-07T13:03:39.024626Z","-0.762","0.86805004","9.469951"
"2022-12-07T13:03:39.085015Z","-0.72795004","0.72405005","9.910951"
"2022-12-07T13:03:39.144943Z","-0.83805007","1.0639501","9.71205"
"2022-12-07T13:03:39.205611Z","-0.75195","0.822","9.8220005"
"2022-12-07T13:03:39.265856Z","-0.61305004","0.822","9.906"
"2022-12-07T13:03:39.325824Z","-0.58005005","0.975","9.71895"
"2022-12-07T13:03:39.385864Z","-0.651","0.67095006","9.86505"
"2022-12-07T13:03:39.446188Z","-0.642","0.75795","9.8560505"
"2022-12-07T13:03:39.508223Z","-0.786","0.80100006","9.7240505"
"2022-12-07T13:03:39.568073Z","-0.85305005","0.78900003","9.61905"
"2022-12-07T13:03:39.628023Z","-0.90495","0.82695","9.8890505"
"2022-12-07T13:03:39.688532Z","-0.97905004","0.92805004","9.745951"
"2022-12-07T13:03:39.747720Z","-0.85305005","0.65205","9.784051"
"2022-12-07T13:03:39.808458Z","-0.91005003","0.81705004","9.83895"
"2022-12-07T13:03:39.868521Z","-0.98205006","0.93195003","9.8869505"
"2022-12-07T13:03:39.928910Z","-0.88395005","0.83400005","9.954"
"2022-12-07T13:03:39.994864Z","-0.89805007","0.87000006","9.769951"
"2022-12-07T13:03:40.048993Z","-0.86505","0.74595004","9.798"
"2022-12-07T13:03:40.109264Z","-0.85005003","0.72900003","9.765"
"2022-12-07T13:03:40.169641Z","-0.83295006","0.777","9.65205"
"2022-12-07T13:03:40.229620Z","-0.74205005","0.69105005","9.637951"
"2022-12-07T13:03:40.250192Z","-0.75900006","0.75000006","9.925051"
"2022-12-07T13:03:40.269579Z","-0.83805007","0.75495005","9.585"
"2022-12-07T13:03:40.291336Z","-0.79995006","0.84405005","9.82005"
"2022-12-07T13:03:40.310055Z","-0.79800004","0.837","9.92805"
"2022-12-07T13:03:40.329774Z","-0.79995006","0.78405005","9.913051"
"2022-12-07T13:03:40.350861Z","-0.79305005","0.68295","9.805051"
"2022-12-07T13:03:40.370205Z","-0.86700004","0.69495004","10.04205"
"2022-12-07T13:03:40.390353Z","-0.88395005","0.84405005","9.87495"
"2022-12-07T13:03:40.410318Z","-0.71595","0.79305005","9.78195"
"2022-12-07T13:03:40.430410Z","-1.0009501","0.92295","10.177051"
"2022-12-07T13:03:40.450725Z","-0.79005","0.93195003","9.790951"
"2022-12-07T13:03:40.471039Z","-0.8880001","0.84405005","9.910951"
"2022-12-07T13:03:40.492946Z","-0.83595","0.70500004","9.83205"
"2022-12-07T13:03:40.512429Z","-0.95295006","0.69795","10.09305"
"2022-12-07T13:03:40.530909Z","-0.93900007","0.77400005","9.774"
"2022-12-07T13:03:40.551193Z","-0.88395005","0.78105","9.790951"
"2022-12-07T13:03:40.571079Z","-0.94605005","0.88395005","9.784051"
"2022-12-07T13:03:40.591393Z","-0.88095003","0.786","9.628051"
"2022-12-07T13:03:40.611334Z","-0.90300006","0.69795","9.67605"
"2022-12-07T13:03:40.631303Z","-0.975","0.72195005","9.769951"
"2022-12-07T13:03:40.651924Z","-0.91995007","0.89895004","9.559051"
"2022-12-07T13:03:40.671934Z","-1.0320001","0.95100003","9.625951"
"2022-12-07T13:03:40.692645Z","-0.90495","0.79800004","9.418051"
"2022-12-07T13:03:40.711550Z","-0.86700004","0.65505004","9.691051"
"2022-12-07T13:03:40.731923Z","-0.984","0.76995003","9.621"
"2022-12-07T13:03:40.752082Z","-0.69000006","0.702","9.279"
"2022-12-07T13:03:40.771984Z","-0.94605005","0.85605","10.059"
"2022-12-07T13:03:40.798824Z","-0.74505","0.87705004","9.4150505"
"2022-12-07T13:03:40.811969Z","-0.87195003","0.81495005","9.814951"
"2022-12-07T13:03:40.832107Z","-0.86505","0.73605","9.748051"
"2022-12-07T13:03:40.852608Z","-0.91695005","0.86295","10.071"
"2022-12-07T13:03:40.872812Z","-0.90300006","0.975","10.155001"
"2022-12-07T13:03:40.893821Z","-0.726","0.82905006","10.01895"
"2022-12-07T13:03:40.913024Z","-0.90495","1.0380001","10.528951"
"2022-12-07T13:03:40.932659Z","-0.80505","0.94905007","9.798"
"2022-12-07T13:03:40.958227Z","-0.87405","0.85605","10.617001"
"2022-12-07T13:03:40.972649Z","-0.762","0.702","9.978001"
"2022-12-07T13:03:40.992883Z","-0.95100003","0.97305006","10.44495"
"2022-12-07T13:03:41.013208Z","-0.77805007","0.9990001","10.026"
"2022-12-07T13:03:41.033509Z","-0.73995006","0.89205","9.774"
"2022-12-07T13:03:41.053231Z","-0.675","0.88905007","9.954"
"2022-12-07T13:03:41.073397Z","-0.74505","0.77895004","10.02795"
"2022-12-07T13:03:41.093861Z","-0.49095002","0.573","9.219001"
"2022-12-07T13:03:41.114059Z","-0.79800004","0.657","9.949051"
"2022-12-07T13:03:41.133547Z","-0.79005","0.813","9.37695"
"2022-12-07T13:03:41.153670Z","-0.51705","0.74805003","8.950951"
"2022-12-07T13:03:41.173568Z","-0.762","0.753","9.71895"
"2022-12-07T13:03:41.193988Z","-0.80505","0.79605","9.184951"
"2022-12-07T13:03:41.214218Z","-0.72300005","0.633","9.04605"
"2022-12-07T13:03:41.234037Z","-0.97905004","0.58005005","9.93"
"2022-12-07T13:03:41.254593Z","-0.96795005","0.693","9.439051"
"2022-12-07T13:03:41.274175Z","-1.1040001","0.81495005","9.5779505"
"2022-12-07T13:03:41.294386Z","-1.02495","0.97095007","9.70995"
"2022-12-07T13:03:41.314689Z","-0.76605004","0.71400005","9.489"
"2022-12-07T13:03:41.334591Z","-0.79305005","0.67395","10.33005"
"2022-12-07T13:03:41.355601Z","-0.80700004","0.71895003","10.236"
"2022-12-07T13:03:41.375088Z","-0.70695","0.77895004","9.81"
"2022-12-07T13:03:41.394804Z","-0.9990001","0.89205","10.840051"
"2022-12-07T13:03:41.415127Z","-0.87195003","0.80100006","10.00395"
"2022-12-07T13:03:41.434852Z","-0.786","0.83400005","10.311001"
"2022-12-07T13:03:41.455101Z","-0.73005","0.80295","10.342051"
"2022-12-07T13:03:41.475210Z","-0.82095003","0.95400006","10.236"
"2022-12-07T13:03:41.495512Z","-0.64395005","0.91095006","10.13595"
"2022-12-07T13:03:41.515943Z","-0.642","0.72195005","10.1650505"
"2022-12-07T13:03:41.535874Z","-0.91695005","0.74295","10.04205"
"2022-12-07T13:03:41.555730Z","-0.67095006","0.72405005","9.79605"
"2022-12-07T13:03:41.575912Z","-1.08","0.87195003","10.13805"
"2022-12-07T13:03:41.602701Z","-0.88605005","0.717","9.18795"
"2022-12-07T13:03:41.615598Z","-0.795","0.78105","9.439051"
"2022-12-07T13:03:41.635997Z","-0.93900007","0.76005006","10.04205"
"2022-12-07T13:03:41.656173Z","-0.9480001","0.82695","9.027"
"2022-12-07T13:03:41.675966Z","-0.77595","0.70995003","9.52305"
"2022-12-07T13:03:41.696059Z","-1.1850001","0.64995","9.45405"
"2022-12-07T13:03:41.716669Z","-1.176","0.669","9.406051"
"2022-12-07T13:03:41.737561Z","-0.92700005","0.75495005","9.34605"
"2022-12-07T13:03:41.757261Z","-0.8880001","0.74100006","9.207001"
"2022-12-07T13:03:41.777898Z","-0.95595","0.83400005","9.7890005"
"2022-12-07T13:03:41.798038Z","-0.975","0.777","9.264001"
"2022-12-07T13:03:41.817881Z","-0.8880001","0.63495004","9.351001"
"2022-12-07T13:03:41.837550Z","-1.3219501","0.71400005","9.85305"
"2022-12-07T13:03:41.858092Z","-1.14495","0.69795","9.640051"
"2022-12-07T13:03:41.877902Z","-0.97905004","0.82905006","9.717"
"2022-12-07T13:03:41.897667Z","-1.0129501","0.79605","9.757951"
"2022-12-07T13:03:41.917570Z","-0.91995007","0.72405005","9.559051"
"2022-12-07T13:03:41.937845Z","-1.06605","0.78405005","9.861"
"2022-12-07T13:03:41.957659Z","-0.90300006","0.76500005","9.898951"
"2022-12-07T13:03:41.977963Z","-1.0129501","0.79305005","9.98505"
"2022-12-07T13:03:41.997817Z","-1.0180501","0.93000007","10.120951"
"2022-12-07T13:03:42.017780Z","-0.89100003","0.82500005","9.78195"
"2022-12-07T13:03:42.037745Z","-0.82905006","0.76005006","10.02105"
"2022-12-07T13:03:42.058205Z","-0.84795004","0.81705004","10.026"
"2022-12-07T13:03:42.078508Z","-0.76905006","0.813","9.963"
"2022-12-07T13:03:42.097933Z","-0.98700005","0.86805004","10.212001"
"2022-12-07T13:03:42.118178Z","-0.915","0.786","9.898951"
"2022-12-07T13:03:42.138404Z","-0.85695004","0.79800004","10.05195"
"2022-12-07T13:03:42.158221Z","-0.89100003","0.86295","9.96105"
"2022-12-07T13:03:42.178480Z","-0.70395005","0.77400005","9.901051"
"2022-12-07T13:03:42.198409Z","-0.735","0.72405005","9.913051"
"2022-12-07T13:03:42.218438Z","-0.9289501","0.79605","10.069051"
"2022-12-07T13:03:42.238429Z","-0.93600005","0.78900003","9.769951"
"2022-12-07T13:03:42.258886Z","-0.88395005","0.68295","10.026"
"2022-12-07T13:03:42.279036Z","-0.88395005","0.71205","9.8220005"
"2022-12-07T13:03:42.299109Z","-0.78795004","0.75495005","9.834001"
"2022-12-07T13:03:42.319281Z","-0.89295006","0.86505","9.955951"
"2022-12-07T13:03:42.339047Z","-0.79995006","0.78900003","9.54405"
"2022-12-07T13:03:42.359047Z","-0.89595","0.78405005","9.934951"
"2022-12-07T13:03:42.384737Z","-0.91005003","0.75495005","9.66195"
"2022-12-07T13:03:42.399343Z","-0.83100003","0.70500004","9.762"
"2022-12-07T13:03:42.419655Z","-0.88605005","0.72900003","9.552"
"2022-12-07T13:03:42.439844Z","-0.82395005","0.75495005","9.616051"
"2022-12-07T13:03:42.459455Z","-0.91200006","0.786","9.729"
"2022-12-07T13:03:42.479943Z","-0.85305005","0.78900003","9.47295"
"2022-12-07T13:03:42.499656Z","-0.91200006","0.78105","9.51105"
"2022-12-07T13:03:42.519812Z","-0.87405","0.72405005","9.468"
"2022-12-07T13:03:42.539941Z","-0.87405","0.777","9.549001"
"2022-12-07T13:03:42.560085Z","-0.87900007","0.76995003","9.45405"
"2022-12-07T13:03:42.580119Z","-0.771","0.70695","9.552"
"2022-12-07T13:03:42.600569Z","-0.90000004","0.76695","9.48495"
"2022-12-07T13:03:42.620831Z","-0.85995007","0.81705004","9.66195"
"2022-12-07T13:03:42.640629Z","-0.80700004","0.753","9.559051"
"2022-12-07T13:03:42.660643Z","-0.81705004","0.76695","9.825001"
"2022-12-07T13:03:42.681232Z","-0.80505","0.822","9.71205"
"2022-12-07T13:03:42.700810Z","-0.77805007","0.79305005","9.9199505"
"2022-12-07T13:03:42.720738Z","-0.89595","0.80295","10.107"
"2022-12-07T13:03:42.740724Z","-0.83295006","0.69495004","9.937051"
"2022-12-07T13:03:42.761168Z","-0.84300005","0.82500005","10.191001"
"2022-12-07T13:03:42.781451Z","-0.86205006","0.882","10.246051"
"2022-12-07T13:03:42.801312Z","-0.77805007","0.83895004","10.099951"
"2022-12-07T13:03:42.821953Z","-0.81705004","0.813","10.224001"
"2022-12-07T13:03:42.841849Z","-0.93405","0.79095006","10.27005"
"2022-12-07T13:03:42.861840Z","-0.89100003","0.88395005","10.095"
"2022-12-07T13:03:42.881746Z","-0.91995007","0.906","10.28205"
"2022-12-07T13:03:42.901538Z","-0.89805007","0.78105","10.156951"
"2022-12-07T13:03:42.921950Z","-0.855","0.74100006","10.167001"
"2022-12-07T13:03:42.941968Z","-0.924","0.75000006","9.918"
"2022-12-07T13:03:42.961959Z","-0.89100003","0.702","10.063951"
"2022-12-07T13:03:42.981899Z","-1.03005","0.80805004","10.10505"
"2022-12-07T13:03:43.002271Z","-0.915","0.80505","9.67905"
"2022-12-07T13:03:43.022820Z","-0.88095003","0.81495005","9.894"
"2022-12-07T13:03:43.042262Z","-0.93195003","0.76695","9.573001"
"2022-12-07T13:03:43.062239Z","-0.81705004","0.726","9.475051"
"2022-12-07T13:03:43.082469Z","-0.93900007","0.702","9.592051"
"2022-12-07T13:03:43.102545Z","-0.88605005","0.69495004","9.54705"
"2022-12-07T13:03:43.122449Z","-0.85005003","0.69495004","9.274051"
"2022-12-07T13:03:43.142761Z","-0.78795004","0.73395","9.468"
"2022-12-07T13:03:43.162917Z","-0.81705004","0.74100006","9.489"
"2022-12-07T13:03:43.189530Z","-0.73995006","0.693","9.184951"
"2022-12-07T13:03:43.202670Z","-0.80505","0.67095006","9.612"
"2022-12-07T13:03:43.223617Z","-0.88605005","0.717","9.463051"
"2022-12-07T13:03:43.243340Z","-0.84105","0.71205","9.528001"
"2022-12-07T13:03:43.263162Z","-0.91995007","0.75000006","9.61905"
"2022-12-07T13:03:43.283401Z","-0.77805007","0.76005006","9.588"
"2022-12-07T13:03:43.303503Z","-0.85005003","0.78105","9.68595"
"2022-12-07T13:03:43.323518Z","-0.90795004","0.75000006","9.85305"
"2022-12-07T13:03:43.343813Z","-0.93195003","0.78405005","9.8869505"
"2022-12-07T13:03:43.363601Z","-1.07805","0.846","10.234051"
"2022-12-07T13:03:43.383570Z","-0.77805007","0.717","9.71895"
"2022-12-07T13:03:43.404443Z","-1.06605","0.906","10.50195"
"2022-12-07T13:03:43.424293Z","-0.795","0.882","9.70005"
"2022-12-07T13:03:43.444893Z","-0.9480001","0.90795004","10.26795"
"2022-12-07T13:03:43.464264Z","-0.8880001","0.85305005","10.143001"
"2022-12-07T13:03:43.484266Z","-0.8880001","0.76995003","9.94005"
"2022-12-07T13:03:43.504787Z","-0.9889501","0.669","10.416"
"2022-12-07T13:03:43.524707Z","-1.0180501","0.777","10.234051"
"2022-12-07T13:03:43.544381Z","-0.83295006","0.88905007","9.87705"
"2022-12-07T13:03:43.564397Z","-0.9889501","0.93195003","10.167001"
"2022-12-07T13:03:43.584994Z","-0.90300006","0.79095006","9.798"
"2022-12-07T13:03:43.604578Z","-0.924","0.78900003","9.955951"
"2022-12-07T13:03:43.624672Z","-1.03695","0.74100006","9.99495"
"2022-12-07T13:03:43.644669Z","-0.91005003","0.71895003","9.8220005"
"2022-12-07T13:03:43.705102Z","-0.90795004","0.82695","9.396001"
"2022-12-07T13:03:43.766146Z","-0.85305005","0.75495005","9.601951"
"2022-12-07T13:03:43.826273Z","-0.90000004","0.78900003","9.516001"
"2022-12-07T13:03:43.886492Z","-0.82605004","0.78405005","9.52095"
"2022-12-07T13:03:43.946735Z","-0.81900007","0.64305","9.670951"
"2022-12-07T13:03:44.008160Z","-0.79005","0.70005006","9.681001"
"2022-12-07T13:03:44.068076Z","-0.9289501","0.77205","9.979951"
"2022-12-07T13:03:44.127653Z","-0.86895007","0.78105","9.868051"
"2022-12-07T13:03:44.187786Z","-0.95100003","0.82905006","9.99705"
"2022-12-07T13:03:44.248106Z","-1.01505","0.87705004","10.234051"
"2022-12-07T13:03:44.308467Z","-0.93600005","0.75495005","10.12395"
"2022-12-07T13:03:44.368608Z","-0.90000004","0.75495005","9.7240505"
"2022-12-07T13:03:44.429084Z","-0.95100003","0.82005006","9.849001"
"2022-12-07T13:03:44.489901Z","-0.87900007","0.73605","9.640051"
"2022-12-07T13:03:44.549804Z","-0.86505","0.64500004","9.49905"
"2022-12-07T13:03:44.609447Z","-0.75000006","0.68295","9.601951"
"2022-12-07T13:03:44.669578Z","-0.75900006","0.76695","9.65505"
"2022-12-07T13:03:44.729934Z","-0.81705004","0.75795","10.098001"
"2022-12-07T13:03:44.795837Z","-0.95595","0.90405005","10.227"
"2022-12-07T13:03:44.850270Z","-0.92700005","0.83205","10.086"
"2022-12-07T13:03:44.911313Z","-0.97200006","0.837","9.96105"
"2022-12-07T13:03:44.971110Z","-0.94605005","0.85800004","9.87495"
"2022-12-07T13:03:45.031240Z","-0.83295006","0.66195005","9.669001"
"2022-12-07T13:03:45.092989Z","-0.80700004","0.77205","9.396001"
"2022-12-07T13:03:45.152293Z","-0.89805007","0.67905","9.703051"
"2022-12-07T13:03:45.212148Z","-0.79995006","0.70005006","9.5779505"
"2022-12-07T13:03:45.272988Z","-0.84105","0.76005006","9.870001"
"2022-12-07T13:03:45.333136Z","-0.85305005","0.87195003","10.102051"
"2022-12-07T13:03:45.393061Z","-0.86205006","0.82695","10.081051"
"2022-12-07T13:03:45.453703Z","-0.91995007","0.85800004","10.03995"
"2022-12-07T13:03:45.513912Z","-0.86700004","0.822","9.92805"
"2022-12-07T13:03:45.574342Z","-0.80505","0.73395","9.597"
"2022-12-07T13:03:45.634730Z","-0.84795004","0.74805003","9.51105"
"2022-12-07T13:03:45.694081Z","-0.84105","0.72900003","9.765"
"2022-12-07T13:03:45.754881Z","-0.85995007","0.76005006","9.669001"
"2022-12-07T13:03:45.814760Z","-0.86895007","0.77895004","9.910951"
"2022-12-07T13:03:45.875846Z","-0.78105","0.78105","9.774"
"2022-12-07T13:03:45.935910Z","-0.84300005","0.83205","9.894"
"2022-12-07T13:03:45.995874Z","-0.91995007","0.80505","9.979951"
"2022-12-07T13:03:46.056096Z","-0.83100003","0.78900003","9.813001"
